imo,vesteu
9717436,0-250
9718117,8000-12000
9718844,0-250
9719745,0-250
9719757,0-250
9719874,4000-8000
9720201,8000-12000
9720471,8000-12000
9720483,8000-12000
9720495,8000-12000
9720500,8000-12000
9720512,8000-12000
9721566,0-250
9722651,8000-12000
9722687,8000-12000
9723241,8000-12000
9723253,8000-12000
9724049,8000-12000
9724958,1000-4000
9725627,0-250
9726164,0-250
9727613,8000-12000
9728942,12000-16000
9728954,12000-16000
9729087,8000-12000
9729104,8000-12000
9729116,8000-12000
9731925,8000-12000
9732319,12000-16000
9732333,12000-16000
9732357,12000-16000
9732802,0-250
9735206,8000-12000
9736107,16000-30000
9736224,250-1000
9737462,12000-16000
9741384,12000-16000
9741401,12000-16000
9741437,12000-16000
9743502,1000-4000
9745500,1000-4000
9745550,1000-4000
9745653,8000-12000
9745665,8000-12000
9754082,0-250
9754410,250-1000
9754422,250-1000
9754434,250-1000
9754446,250-1000
9755191,16000-30000
9755933,16000-30000
9756092,1000-4000
9756107,1000-4000
9757216,12000-16000
9757230,12000-16000
9760366,0-250
9760407,0-250
9760457,0-250
9763710,1000-4000
9763722,1000-4000
9763837,0-250
9765079,0-250
9766841,0-250
9767388,16000-30000
9769271,16000-30000
9769283,16000-30000
9769295,16000-30000
9769300,16000-30000
9769697,0-250
9770751,12000-16000
9773210,16000-30000
9773222,16000-30000
9773753,0-250
9775737,1000-4000
9775749,1000-4000
9775751,1000-4000
9775763,1000-4000
9775775,1000-4000
9776418,16000-30000
9776420,16000-30000
9776432,16000-30000
9777589,8000-12000
9777606,8000-12000
9777618,8000-12000
9777620,8000-12000
9777632,8000-12000
9778088,12000-16000
9778533,1000-4000
9778545,1000-4000
9778791,16000-30000
9778806,16000-30000
9778818,16000-30000
9778820,16000-30000
9778832,16000-30000
9778844,16000-30000
9780445,16000-30000
9780457,16000-30000
9780469,16000-30000
9780471,16000-30000
9780483,16000-30000
9780653,1000-4000
9783459,16000-30000
9783461,16000-30000
9783473,16000-30000
9783497,16000-30000
9783502,16000-30000
9783526,16000-30000
9783538,16000-30000
9784269,12000-16000
9785445,12000-16000
9785457,12000-16000
